urlKey,condition,gender,brand,primaryTitle,retailPrice,releaseDate,days_since_release,gender_men,gender_women,gender_infant,gender_preschool,gender_toddler,gender_unisex,brand_ASICS,brand_Nike,brand_Jordan,brand_New Balance,brand_adidas,averagePrice_Dead_Stock,averagePrice_Annual_Statistics,salesCount_Annual,color1,condition_New,thumbUrl,size,lastSale
nike-zoom-rookie-memphis-tigers,New,men,Nike,Nike Zoom Rookie,220.0,2019-06-01,1788.0,True,False,False,False,False,False,False,True,False,False,False,238,238,2,Vast Grey,True,https://images.stockx.com/images/Nike-Zoom-Rookie-Memphis-Tigers-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1607049274,9.5,95.0
nike-air-max-infinity-winter-anthracite-particle-grey,New,men,Nike,Nike Air Max Infinity Winter,100.0,2020-10-01,1300.0,True,False,False,False,False,False,False,True,False,False,False,159,159,23,Anthracite,True,https://images.stockx.com/images/Nike-Air-Max-Infinity-Winter-Anthracite-Particle-Grey-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1621953347,5.5,202.0
nike-sb-zoom-blazer-mid-prm-acclimate-rattan-black,New,men,Nike,Nike SB Zoom Blazer Mid PRM,105.0,2022-02-06,807.0,True,False,False,False,False,False,False,True,False,False,False,100,100,159,Rattan,True,https://images.stockx.com/images/Nike-SB-Zoom-Blazer-Mid-PRM-Acclimate-Rattan-Black-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1653401238,7.0,92.0
adidas-nmd-r1-stlt-pink-purple-w,New,women,adidas,adidas NMD R1,170.0,2018-01-04,2301.0,False,True,False,False,False,False,False,False,False,False,True,180,180,1,Pink,True,https://images.stockx.com/images/Adidas-NMD-R1-STLT-Pink-Purple-W-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1606940492,9.5,88.0
nike-zoom-gt-cut-2-light-menta-opti-yellow,New,men,Nike,Nike Zoom GT Cut 2,170.0,2023-04-07,382.0,True,False,False,False,False,False,False,True,False,False,False,151,151,344,White,True,https://images.stockx.com/images/Nike-Zoom-GT-Cut-2-Light-Menta-Opti-Yellow.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1682581322,10.5,119.0
adidas-nmd-r1-glitch-medium-grey-w,New,women,adidas,adidas NMD R1,130.0,2017-04-06,2574.0,False,True,False,False,False,False,False,False,False,False,True,0,0,0,Utility Black,True,https://images.stockx.com/images/adidas-NMD-R1-Glitch-Medium-Grey-W-Product.png?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1686755690,11.5,90.0
asics-gel-lyte-iii-og-tarmac-mink,New,men,ASICS,ASICS Gel-Lyte III OG,120.0,2023-01-30,449.0,True,False,False,False,False,False,True,False,False,False,False,138,138,7,Tarmac,True,https://images.stockx.com/images/ASICS-Gel-Lyte-III-OG-Tarmac-Mink.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1675077557,12.0,110.0
adidas-ultra-boost-all-white,New,men,adidas,adidas Ultra Boost 1.0,180.0,2015-06-01,3249.0,True,False,False,False,False,False,False,False,False,False,True,209,209,121,Footwear White,True,https://images.stockx.com/images/Adidas-Ultra-Boost-All-White-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1611846651,13.0,250.0
kd-9-usa,New,men,Nike,Nike KD 9,150.0,2016-07-01,2853.0,True,False,False,False,False,False,False,True,False,False,False,205,205,7,White,True,https://images.stockx.com/images/Nike-KD-9-USA-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1705420767,6.0,200.0
nike-air-vapormax-2023-flyknit-pure-platinum,New,men,Nike,Nike Air VaporMax 2023 Flyknit,210.0,2023-05-18,341.0,True,False,False,False,False,False,False,True,False,False,False,163,163,1059,Pure Platinum,True,https://images.stockx.com/images/Nike-Air-VaporMax-2023-Flyknit-Pure-Platinum-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1698339075,8.5,135.0
adidas-ultra-boost-22-zebra,New,men,adidas,adidas Ultra Boost 22,190.0,2022-04-01,753.0,True,False,False,False,False,False,False,False,False,False,True,97,97,10,Core Black ,True,https://images.stockx.com/images/adidas-Ultra-Boost-22-Zebra.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1648663798,8.5,88.0
adidas-nmd-r1-legend-purple-shock-red,New,men,adidas,adidas NMD R1,130.0,2019-02-01,1908.0,True,False,False,False,False,False,False,False,False,False,True,0,0,0,Legend Purple,True,https://images.stockx.com/images/adidas-NMD-R1-Legend-Purple-Shock-Red.png?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1616552676,10.5,115.0
adidas-ultra-boost-2021-white-multicolor,New,men,adidas,adidas Ultra Boost 21,180.0,2021-06-16,1042.0,True,False,False,False,False,False,False,False,False,False,True,89,89,11,White,True,https://images.stockx.com/images/adidas-Ultra-Boost-2021-White-Multicoloradidas-Ultra-Boost-2021-White-Multicolor.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1617577445,12.0,98.0
nike-lebron-16-superman,New,men,Nike,Nike LeBron 16,200.0,2018-12-25,1946.0,True,False,False,False,False,False,False,True,False,False,False,131,131,47,White,True,https://images.stockx.com/images/Nike-LeBron-16-Superman-Product.png?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1686755924,9.5,130.0
